Unit,Primary_Emotion,Polarity,Mood,Personality
肝腸寸斷,2,N,,
肚爛,4,N,,
肖查某,4,N,,
系念,2,N,,
私生子,4,N,,
狂躁,4,N,,
狂熱,1,P,,
狂暴,4,N,,
狂悲,2,N,,
狂喜,1,P,,
狂笑,1,P,,
狂怒,4,N,,
牢騷,4,N,,
災,4,N,,
沒轍,,N,,
沒譜兒,,N,,
沒臉,,N,,
沒精打采,2,N,,
沒著沒落,,N,,
沒羞,,N,,
沒門兒,,N,,
沒門,,N,,
沒法兒,,N,,
沒法,,N,,
沒奈何,,N,,
沒皮沒臉,,N,,
沉鬱,2,N,,
沉默寡言,2,N,,
沉默,2,N,,
沉醉,1,P,,
沉溺,,N,,
沉著,,P,,
沉痛,2,N,,
沉湎,2,N,,
沉悶,2,N,,
沉迷,1,P,,
沉重,2,N,,
沉住氣,,P,,
沉心靜氣,1,P,,
決定,,0,,
決心,,P,,
求賢若渴,,P,,
求知若渴,,P,,
求之不得,,P,,
束手無策,,N,,
杞人憂天,2,N,,
攻擊,4,N,,
攻勢,4,N,,
改進,,P,,
改善,,P,,
改悔,2,N,,
折磨,4,N,,
抗議,,N,,
抗爭,,N,,
抖,,N,,
投入,,P,,
抑鬱寡歡,2,N,,
抑鬱,2,N,,
抑制,2,N,,
把握,,P,,
扼腕,2,N,,
批評,4,N,,
批判,4,N,,
扶持,,P,,
扭捏,,N,,
扭曲,,N,,
戒,,0,,
忸怩,2,N,,
快樂,1,P,,
快慰,1,P,,
快意,1,P,,
快活,1,P,,
快快樂樂,1,P,,
快,,0,,
忘記,,N,,
忘恩負義,,N,,
志得意滿,1,P,,
志哀,2,N,,
忐忑不安,3,N,,
忐忑,3,N,,
忍俊不禁,1,P,,
忍,,0,,
忌憚,4,N,,
忌恨,4,N,,
忌妒,4,N,,
弄壞,4,N,,
弄痛,4,N,,
庇護,,P,,
希冀,1,P,,
希圖,1,P,,
希望,1,P,,
希罕,4,N,,
希,,0,,
巫婆,4,N,,
岔開,,0,,
屁滾尿流,3,N,,
屁眼,4,N,,
屁孩,4,N,,
屁,4,N,,
宏偉,,P,,
宏大,,P,,
完善,,P,,
完備,,P,,
完美,1,P,,
孝敬,,P,,
孝順,,P,,
孝,,P,,
妨礙,,N,,
妨害,,N,,
妓女,4,N,,
妒賢嫉能,4,N,,
妒嫉,4,N,,
妒忌,4,N,,
妒,4,N,,
壯觀,,P,,
壯麗,,P,,
壯闊,,P,,
坐臥不寧,3,N,,
坐臥不安,3,N,,
坐困,3,N,,
坐立不安,3,N,,
坎坷,,N,,
困憊,,N,,
困頓,,N,,
困惑,5,N,,
困乏,,N,,
困,,N,,
告慰,,P,,
呆若木雞,,0,,
呆,,0,,
吻,1,P,,
吹喇叭,4,N,,
吹毛求疵,,N,,
吸引,1,P,,
含糊,,N,,
含羞,2,N,,
含淚,2,N,,
含笑九泉,2,0,,
含笑,1,P,,
含怒,4,N,,
否認,,0,,
否定,,0,,
吞聲,,N,,
吝嗇,4,N,,
吝惜,,N,,
吝,,N,,
即景生情,2,N,,
利潤,,P,,
利益,,P,,
利己,,P,,
別無良策,,N,,
冷靜,1,P,,
冷酷,4,N,,
冷淡,4,N,,
冷,4,N,,
免費,,P,,
克制,,0,,
你娘卡好,4,N,,
作弊,4,N,,
作嘔,4,N,,
作色,4,N,,
何樂而不為,,P,,
何樂不為,,P,,
何去何從,,N,,
佔便宜,,N,,
低落,2,N,,
低迷,2,N,,
低能兒,4,N,,
低能,4,N,,
低沉,,N,,
低回,,N,,
但願,,P,,
伶俐,,P,,
伴侶,,P,,
行若無事,,P,,
色情,4,N,,
至善,,P,,
至高無上,,P,,
自餒,2,N,,
自暴自棄,2,N,,
自慰,2,N,,
自鳴得意,1,P,,
自豪,,P,,
自慚形穢,2,N,,
自尊,,0,,
自責,2,N,,
自得其樂,1,P,,
自負,,N,,
自相驚擾,,N,,
自怨自艾,2,N,,
自信,,P,,
自咎,2,N,,
自卑,2,N,,
自私,4,N,,
自我陶醉,1,P,,
自我欣賞,1,P,,
自在,1,P,,
自由自在,1,P,,
自由,1,P,,
自甘墮落,,N,,
自大,,N,,
老著臉皮,,N,,
老處女,4,N,,
老羞成怒,4,N,,
老淚縱橫,2,N,,
老淚橫流,2,N,,
老娘,4,N,,
老牛舐犢,1,P,,
老子,4,N,,
米蟲,4,N,,
百感叢生,,C,,
百感交集,,C,,
百般無奈,,N,,
灰溜溜,,N,,
灰心喪氣,2,N,,
灰心,2,N,,
污穢,4,N,,
汗顏,2,N,,
死對頭,4,N,,
死路,4,N,,
死當,4,N,,
死期,4,N,,
死氣沉沉,2,N,,
死氣,,N,,
死沉,2,N,,
死刑,4,N,,
死皮賴臉,,N,,
死心,2,N,,
死不瞑目,,N,,
死不,,N,,
死亡,,N,,
死乞白賴,,N,,
死人,,N,,
死,,N,,
次等,,N,,
次要,,N,,
有錢,1,P,,
有趣,1,P,,
有愧,,N,,
有益,1,P,,
有氣無力,2,N,,
有效,1,P,,
有害,4,N,,
有助,,P,,
有利,1,P,,
有用,1,P,,
有心無力,,N,,
有力,,P,,
曲解,,N,,
收穫,1,P,,
成就,1,P,,
成見,4,N,,
成功,1,P,,
安穩,1,P,,
安靜,,P,,
安慰,,P,,
安寧,1,P,,
安詳,1,P,,
安逸,1,P,,
安然,1,P,,
安安靜靜,,P,,
安全,,P,,
安心,1,P,,
安之若素,,P,,
安不忘危,,P,,
安土重遷,,0,,
安,,0,,
守靜,,0,,
存疑,4,N,,
妄想,,N,,
如饑似渴,1,0,,
如饑如渴,1,0,,
如願以償,1,P,,
如癡如醉,1,P,,
如臨大敵,3,N,,
如獲至寶,1,P,,
如醉如癡,1,P,,
如醉如狂,,P,,
如意,1,P,,
如訴如泣,,N,,
如喪考妣,2,N,,
如泣如訴,,N,,
如沐春風,1,P,,
如沐春雨,1,P,,
如坐針氈,3,N,,
如坐春風,1,P,,
好聽,1,P,,
好整以暇,,P,,
好過,1,P,,
好運,1,P,,
好意思,,P,,
好棒,1,P,,
好處,1,P,,
好笑,1,P,,
好看,1,P,,
好玩,1,P,,
好奇,1,P,,
好受,1,P,,
好,1,P,,
奸笑,,N,,
多躁少靜,,N,,
多餘,,N,,
多疑,4,N,,
多情,1,0,,
多心,4,N,,
夙嫌,4,N,,
回春,1,P,,
回天乏術,2,N,,
向隅,2,N,,
吐氣揚眉,1,P,,
名譽掃地,,N,,
同意,,P,,
同悲,2,N,,
同情,2,N,,
同病相憐,2,N,,
同仇敵愾,4,N,,
合意,1,P,,
合宜,1,P,,
合不攏嘴,1,P,,
吃驚,5,0,,
吃醋,4,N,,
吃後悔藥,2,N,,
吃屎,4,N,,
吃土,4,N,,
危辭聳聽,,N,,
危言聳聽,,N,,
危,,N,,
劣跡昭著,,N,,
劣,,N,,
光輝,1,P,,
光榮,1,P,,
光亮,1,P,,
光火,4,N,,
先睹為快,,0,,
兇,4,N,,
企望,1,P,,
企盼,1,P,,
企足而待,1,P,,
企求,1,P,,
企,,0,,
任性,,N,,
仰觀,,0,,
仰慕,1,P,,
仰望,,P,,
仰天長歎,,N,,
仰天大笑,1,P,,
交戰,,N,,
交惡,4,N,,
交往,,0,,
丟醜,2,N,,
丟臉,2,N,,
丟棄,,N,,
丟面子,2,N,,
丟下,,N,,
丟人現眼,2,N,,
丟人,2,N,,
矛盾,,N,,
目瞪口呆,5,0,,
皮笑肉不笑,,N,,
白癡,4,N,,
白痴,4,N,,
白目,4,N,,
甲賽,4,N,,
用力,,0,,
生疑,4,N,,
生厭,4,N,,
生疏,2,N,,
生悶氣,4,N,,
生動,1,P,,
生病,2,N,,
生氣勃勃,1,P,,
生氣,4,N,,
生恐,3,N,,
生怕,3,N,,
生命力,1,P,,
甘願,1,P,,
甘當,1,P,,
甘於,1,P,,
甘心情願,1,P,,
甘心,1,P,,
犯賤,4,N,,
犯嘀咕,4,N,,
犯愁,2,N,,
民怨沸騰,4,N,,
正面,1,P,,
正中下懷,1,N,,
正,,0,,
末日,,N,,
未知,,0,,
打攪,,N,,
打斷,,N,,
打擾,,N,,
打擊,,N,,
打鼓,,0,,
打結,,N,,
打敗,,N,,
打情罵俏,1,P,,
打破,,0,,
打倒,,0,,
打架,4,N,,
打岔,,N,,
打仗,4,N,,
打,,0,,
平穩,1,P,,
平靜,1,P,,
平淡,1,P,,
平庸,1,0,,
平和,1,P,,
平安,1,P,,
平心靜氣,1,P,,
左右為難,,N,,
左支右絀,,N,,
奴顏婢膝,4,N,,
奴才,4,N,,
失魂落魄,2,N,,
失誤,,N,,
失落,2,N,,
失意,2,N,,
失望,2,N,,
失敗,2,N,,
失控,2,N,,
失笑,1,P,,
失眠,2,N,,
失色,2,N,,
失去,2,N,,
外傷,2,N,,
外行,,0,,
外向,1,P,,
可驚,5,0,,
可靠,1,P,,
可歎,2,N,,
可憐,2,N,,
可憎,4,N,,
可鄙,4,N,,
可愛,1,P,,
可意,1,P,,
可賀,1,P,,
可惡,4,N,,
可悲,2,N,,
可喜,1,P,,
可望而不可及,,N,,
可望,1,P,,
可惜,2,N,,
可笑,,N,,
可氣,4,N,,
可恥,4,N,,
可恨,4,N,,
可怕,3,N,,
可心,1,P,,
可口,1,P,,
叫苦連天,2,N,,
叫苦不迭,2,N,,
只怕,3,N,,
只求,,N,,
叨念,,N,,
另眼看待,,0,,
另眼相看,,0,,
古怪,,N,,
去死,4,N,,
半信半疑,4,N,,
北爛,4,N,,
北七,4,N,,
匆忙,,0,,
功勞,,N,,
出神,,P,,
出氣,4,N,,
出色,1,P,,
出乎意料,5,0,,
充沛,,P,,
以淚洗面,2,N,,
以為,,0,,
令人擔憂,2,N,,
令人髮指,4,N,,
令人滿意,2,P,,
令人鼓舞,1,P,,
令人羨慕,1,P,,
令人感動,1,P,,
令人堪憂,2,N,,
令人生畏,3,N,,
令人心悸,3,N,,
令人不安,3,N,,
付出,,P,,
付之一笑,1,P,,
他媽的,4,N,,
他馬的,4,N,,
他奶奶的,4,N,,
仔細,,P,,
乏味,,N,,
乏力,,N,,
乏,,N,,
世仇,4,N,,
王子病,4,N,,
王八蛋,4,N,,
王八,4,N,,
牛,4,N,,
火燒火燎,,N,,
火熱,,N,,
火冒三丈,4,N,,
火,,N,,
毛骨悚然,3,N,,
毛,,N,,
欠債,4,N,,
木雕泥塑,5,0,,
木然,5,0,,
方寸已亂,,N,,
文人相輕,4,N,,
支撐,,0,,
支配,,0,,
支持,,P,,
手舞足蹈,1,P,,
手殘,4,N,,
手足無措,3,N,,
手忙腳亂,3,N,,
心驚膽顫,3,N,,
心驚膽戰,3,N,,
心驚肉跳,3,N,,
心驚,3,N,,
心曠神怡,1,P,,
心膽俱裂,3,N,,
心靜,,P,,
心餘力絀,,N,,
心醉,1,P,,
心潮難平,1,P,,
心潮澎湃,1,P,,
心潮起伏,1,P,,
心酸,2,N,,
心滿意足,1,P,,
心碎,2,N,,
心煩意躁,4,N,,
心煩意亂,4,N,,
心煩,4,N,,
心慌意亂,3,N,,
心慌,3,N,,
心愛,1,P,,
心亂如麻,3,N,,
心虛,,N,,
心痛,2,N,,
心焦,3,N,,
心寒,2,N,,
心情,,0,,
心神不寧,3,N,,
心神不定,3,N,,
心神不安,3,N,,
心疼,2,N,,
心急如焚,3,N,,
心急如火,3,N,,
心急火燎,3,N,,
心急,3,N,,
心花怒放,1,P,,
心事重重,2,N,,
心灰意懶,2,N,,
心灰意冷,2,N,,
心有餘悸,3,N,,
心有餘而力不足,,N,,
心安理得,1,P,,
心安,1,P,,
心如死灰,2,N,,
心如刀割,2,N,,
心甘情願,1,P,,
心平氣和,1,P,,
心切,3,N,,
心中無數,5,0,,
心中有鬼,3,N,,
引誘,,N,,
引咎自責,2,N,,
引咎,2,N,,
引人注目,,0,,
幻想,,P,,
巴望,1,P,,
巴不得,1,P,,
巴,,0,,
少安毋躁,4,N,,
夭壽,4,N,,
太息,,N,,
天賦,1,P,,
天資,1,P,,
天堂,1,P,,
天怒人怨,4,N,,
天知道,5,0,,
天才,1,P,,
反駁,4,N,,
反對,4,N,,
反感,4,N,,
反派,4,N,,
反叛,4,N,,
反抗,4,N,,
反目為仇,4,N,,
反目成仇,4,N,,
友愛,1,P,,
友,,0,,
及時,,P,,
厄運,4,N,,
勾引,,N,,
切齒痛恨,4,N,,
切膚之痛,4,N,,
切盼,1,P,,
分擔,,P,,
分憂,,0,,
分裂,,N,,
分散,,N,,
分紅,,P,,
分歧,,N,,
分享,1,P,,
分手,4,N,,
分心,,N,,
凶,4,N,,
六神無主,,N,,
公憤,4,N,,
公車,4,N,,
公主病,4,N,,
內疚,2,N,,
內外交困,,N,,
元兇,,N,,
今是昨非,,N,,
仇敵,4,N,,
仇視,4,N,,
仇殺,4,N,,
仇恨,4,N,,
仇人,4,N,,
仇,4,N,,
仄,,N,,
仁慈,1,P,,
仁義,1,P,,
仁愛,1,P,,
仁術,1,P,,
仁心,1,P,,
五內俱裂,,N,,
中斷,,0,,
中意,1,P,,
不讚一詞,4,N,,
不顧一切,,P,,
不願,4,N,,
不聲不響,,0,,
不齒,4,N,,
不適,,N,,
不盡人意,4,N,,
不滿,4,N,,
不摸頭,5,0,,
不過意,2,N,,
不詳,5,0,,
不解,5,0,,
不當,,N,,
不慌不亂,,P,,
不慌不忙,,P,,
不愧為,,P,,
不愧,,P,,
不順,,N,,
不寒而慄,3,N,,
不堪回首,2,N,,
不符,,N,,
不祥,,N,,
不爽,4,N,,
不清楚,5,0,,
不捨,2,N,,
不得要領,,N,,
不得已,,N,,
不動聲色,,0,,
不做聲,,0,,
不悅,4,N,,
不屑一顧,,N,,
不屑,4,N,,
不容忽視,,0,,
不害羞,,0,,
不哼不哈,,0,,
不准,,N,,
不貞,,N,,
不要臉,4,N,,
不耐煩,4,N,,
不耐,4,N,,
不甚了了,,N,,
不為人知,,0,,
不是味兒,4,N,,
不便,,N,,
不知羞恥,,N,,
不知所終,,N,,
不知所措,3,N,,
不知人間有羞恥事,,N,,
不服,,N,,
不明不白,5,N,,
不拘小節,,0,,
不幸,2,N,,
不宜,,N,,
不定,,N,,
不足,,N,,
不言不語,,N,,
不快,4,N,,
不忍,2,N,,
不利,,N,,
不安,3,N,,
不好過,,N,,
不好意思,2,N,,
不在乎,,N,,
不名譽,,N,,
不共戴天,4,N,,
不亦樂乎,1,P,,
不甘落後,,N,,
不甘心,4,N,,
不甘,4,N,,
不平則鳴,,N,,
不平,4,N,,
不可終日,,N,,
不仁,,N,,
不上不下,,N,,
才智,1,P,,
才能,1,P,,
山窮水盡,,N,,
小覷,4,N,,
小視,,N,,
小偷,4,N,,
小氣鬼,4,N,,
小氣,4,N,,
小看,4,N,,
小心,,0,,
寸土不讓,,N,,
大驚失色,3,N,,
大驚小怪,3,N,,
大題小做,,N,,
大膽,,0,,
大煞風景,4,N,,
大發雷霆,4,N,,
大惑不解,5,0,,
大悲大喜,,C,,
大喜過望,1,P,,
大笑不止,1,P,,
大笑,1,P,,
大呼小叫,,N,,
大旱望雲霓,,0,,
大快人心,1,P,,
大吃一驚,5,0,,
大失所望,2,N,,
大方,,P,,
口吃,,0,,
亡魂喪膽,3,N,,
么壽,4,N,,
下流,4,N,,
下定決心,,N,,
上當,,N,,
上級,,0,,
上氣不接下氣,,N,,
上火,4,N,,
三緘其口,,N,,
三洨,4,N,,
三小,4,N,,
三八,4,N,,
又驚又喜,"1,5",P,,
力盡筋疲,,N,,
力不勝任,,N,,
力不從心,,N,,
八卦,,N,,
入魔,,N,,
入迷,1,P,,
入神,1,P,,
人琴俱亡,,N,,
人渣,4,N,,
人困馬乏,,N,,
人心惶惶,3,N,,
人亡物在,,N,,
了不起,,P,,
九泉瞑目,,0,,
七竅生煙,4,N,,
七上八下,3,N,,
一籌莫展,,N,,
一聲不響,,0,,
一葉障目,5,0,,
一無所知,5,0,,
一無所有,,0,,
一瓶子不滿,,N,,
一笑置之,1,P,,
一氣之下,4,N,,
一怒之下,4,N,,
一往情深,1,P,,
一言不發,,N,,
一見鍾情,1,P,,
一見傾心,1,P,,
一失足成千古恨,2,N,,
一日三秋,2,N,,
閃避不及,3,N,,
感受到震度,3,N,,
乾旱,3,N,,
救治,3,N,,
行凶,3,N,,
不舒服,3,N,,
急診,3,N,,
勇敢求救,3,N,,
勒痕,3,N,,
蓄水量偏低,3,N,,
尚未脫離險境,3,N,,
戴奧辛,3,N,,
幫幫我,3,N,,
救救我,3,N,,
不斷發抖,3,N,,
報警,3,N,,
失火,3,N,,
希望,3,N,,
震驚社會,3,N,,
光毒性,3,N,,
血,3,N,,
埋骨,3,N,,
失速,3,N,,
恐,3,N,,
加強戒備,3,N,,
驚動,3,N,,
病毒陽性,3,N,,
祈禱,3,N,,
猝死,3,N,,
失血過多死亡,3,N,,
血跡斑斑,3,N,,
疫情,3,N,,
傳染,3,N,,
近視,3,N,,
延燒,3,N,,
意識模糊,3,N,,
抱著一絲希望,3,N,,
待援,3,N,,
幫派,3,N,,
禽流感,3,N,,
流血,3,N,,
水位持續下降,3,N,,
處決,3,N,,
救命,3,N,,
背脊一陣涼,3,N,,
勒索,3,N,,
意外,3,N,,
過失致死,3,N,,
不知去向,3,N,,
殺案,3,N,,
火警,3,N,,
分泌物,3,N,,
性命難保,3,N,,
煙霧瀰漫,3,N,,
慢性疾,3,N,,
保持上膛,3,N,,
不得不做,3,N,,
手腳發抖,3,N,,
嚇得渾身發抖,3,N,,
保住,3,N,,
多處挫傷,3,N,,
見狀,3,N,,
激進分子,3,N,,
掌握分寸,3,N,,
拔牙,3,N,,
驚恐,3,N,,
腦膜炎,3,N,,
嘔吐,3,N,,
緊急就醫,3,N,,
受困,3,N,,
攻擊行為,3,N,,
風險,3,N,,
火苗,3,N,,
濺血校園,3,N,,
險象環生,3,N,,
哭鬧聲,3,N,,
快死了,3,N,,
餘悸猶存,3,N,,
流血過多致死,3,N,,
恐怖份子,3,N,,
過世,3,N,,
炸彈客,3,N,,
焦味,3,N,,
困境,3,N,,
病變,3,N,,
罹患,3,N,,
駭客,3,N,,
急壞了,3,N,,
急遽惡化,3,N,,
逃跑,3,N,,
救命聲,3,N,,
節約用水,3,N,,
不可輕忽,3,N,,
滿臉血,3,N,,
盡速就醫,3,N,,
黑道分子,3,N,,
血腥,3,N,,
亂咬,3,N,,
求援,3,N,,
發病,3,N,,
別放棄,3,N,,
流感,3,N,,
立即就醫,3,N,,
眼看,3,N,,
冒出濃濃白煙,3,N,,
一大灘血,3,N,,
被害經過,3,N,,
考慮一下,3,N,,
精神錯亂,3,N,,
濃煙,3,N,,
傷害,3,N,,
流入,3,N,,
謹言慎行,3,N,,
出事,3,N,,
緊張,3,N,,
中鏢,3,N,,
最後通牒,3,N,,
抗旱,3,N,,
綁架,3,N,,
世界毀滅,3,N,,
恐怖襲擊活動,3,N,,
語塞,3,N,,
煩惱,3,N,,
心急如焚,3,N,,
墓仔埔,3,N,,
刀尖,3,N,,
可怖,3,N,,
砸傷,3,N,,
一片混亂,3,N,,
癌症,3,N,,
要小心,3,N,,
末日,3,N,,
身體不適,3,N,,
感到憂心,3,N,,
相當憂心,3,N,,
車禍,3,N,,
腹部痙攣,3,N,,
慘摔,3,N,,
死狀淒慘,3,N,,
被霸凌,3,N,,
逼近,3,N,,
車速快,3,N,,
閉嘴,3,N,,
慌了手腳,3,N,,
無呼吸心跳,3,N,,
尖銳,3,N,,
加強巡視,3,N,,
快閃,3,N,,
求情,3,N,,
淺層地震,3,N,,
連環爆,3,N,,
起火燃燒,3,N,,
致癌,3,N,,
絆了一跤,3,N,,
滿床是血,3,N,,
呼吸窘迫,3,N,,
暴斃,3,N,,
眼中風,3,N,,
單獨留下來,3,N,,
趕忙,3,N,,
移送檢調,3,N,,
發生意外,3,N,,
破產,3,N,,
擔心,3,N,,
引發殺機,3,N,,
限水,3,N,,
核武,3,N,,
損失,3,N,,
大火,3,N,,
後遺症,3,N,,
千萬不要,3,N,,
殺手,3,N,,
墜落,3,N,,
暴力分子,3,N,,
視力模糊,3,N,,
流感併發重症,3,N,,
失血過多,3,N,,
公墓,3,N,,
來勢洶洶,3,N,,
逆向,3,N,,
新增一例死亡,3,N,,
報案,3,N,,
驚醒,3,N,,
疑慮,3,N,,
暴力組織,3,N,,
來路不明,3,N,,
引發各界關注,3,N,,
氣候變遷,3,N,,
造成老花眼,3,N,,
緊急送驗,3,N,,
議論紛紛,3,N,,
人質,3,N,,
靈徘徊,3,N,,
感染,3,N,,
要人命,3,N,,
最危險,3,N,,
兇案,3,N,,
疫情嚴重,3,N,,
獸性大發,3,N,,
懇求,3,N,,
嚇到,3,N,,
眼見,3,N,,
焦躁,3,N,,
野蠻陰影,3,N,,
拜託,3,N,,
要多加留意,3,N,,
斬首,3,N,,
釐清起火原因,3,N,,
水瀉,3,N,,
梅毒,3,N,,
災情,3,N,,
喘不過氣,3,N,,
魔神仔,3,N,,
恐怖組織,3,N,,
叫不醒,3,N,,
火場,3,N,,
錄影存證,3,N,,
陷入,3,N,,
危害,3,N,,
空前危機,3,N,,
怪怪,3,N,,
恐會,3,N,,
避免,3,N,,
淤青,3,N,,
火災,3,N,,
驚嚇,3,N,,
疑,3,N,,
贖金,3,N,,
事態嚴重,3,N,,
染患,3,N,,
放射性,3,N,,
逾期,3,N,,
認屍,3,N,,
撲殺,3,N,,
聽力受損,3,N,,
污染,3,N,,
脫逃,3,N,,
砸,3,N,,
嚇得,3,N,,
腸胃炎,3,N,,
吸家畜血,3,N,,
胸部凹陷,3,N,,
大火吞噬,3,N,,
疫情仍持續,3,N,,
深深希望,3,N,,
黑道,3,N,,
高危險群,3,N,,
痙攣,3,N,,
得罪,3,N,,
白內障,3,N,,
老花,3,N,,
搶救,3,N,,
受害,3,N,,
最熱的一年,3,N,,
下落不明,3,N,,
逃,3,N,,
連環車禍,3,N,,
撞擊,3,N,,
陷阱,3,N,,
致命傷,3,N,,
恐嚇電話,3,N,,
增加罹患,3,N,,
混亂,3,N,,
不見好轉,3,N,,
不慎,3,N,,
軀體全不見,3,N,,
駭進,3,N,,
弄傷,3,N,,
同感不舒服,3,N,,
以免,3,N,,
送醫急救,3,N,,
傷亡,3,N,,
恐怖分子,3,N,,
白蟻,3,N,,
封鎖現場蒐證,3,N,,
啃食,3,N,,
超出負荷,3,N,,
趕緊控制,3,N,,
救,3,N,,
恐怖,3,N,,
恐怕,3,N,,
嚇到發抖,3,N,,
一片空白,3,N,,
迫在眉睫,3,N,,
疫苗變異率,3,N,,
染血,3,N,,
擔憂,3,N,,
燒焦味,3,N,,
讓人相當恐懼,3,N,,
財物損失,3,N,,
感冒,3,N,,
同感不適,3,N,,
血跡,3,N,,
謹慎,3,N,,
濺血,3,N,,
太可怕了,3,N,,
病情反而加重,3,N,,
挾持,3,N,,
失蹤,3,N,,
青光眼,3,N,,
自保,3,N,,
出現紅疹,3,N,,
瞬間消失,3,N,,
性侵通緝犯,3,N,,
肌溶解,3,N,,
痛,3,N,,
免疫力降低,3,N,,
緊急疏散,3,N,,
就診,3,N,,
血液,3,N,,
當場昏倒,3,N,,
好發時期,3,N,,
有感地震,3,N,,
起火原因,3,N,,
吃緊,3,N,,
暴力,3,N,,
被擄,3,N,,
發生衝突,3,N,,
頭痛,3,N,,
發燒,3,N,,
眼周疼痛,3,N,,
核武競賽,3,N,,
有問題,3,N,,
疲勞駕駛,3,N,,
槍殺,3,N,,
恐慌,3,N,,
散落一地,3,N,,
威脅,3,N,,
炸掉,3,N,,
焦急,3,N,,
傳染病,3,N,,
壓力過大,3,N,,
緊急控制,3,N,,
視力衰退,3,N,,
追債,3,N,,
好緊張,3,N,,
水果刀,3,N,,
惡火,3,N,,
嘩然,3,N,,
聽不清楚,3,N,,
黃斑部病變,3,N,,
爆炸,3,N,,
免疫力下降,3,N,,
提神,3,N,,
脹痛,3,N,,
誤食,3,N,,
不易發覺,3,N,,
緊急重建手術,3,N,,
大意不得,3,N,,
不易排出體外,3,N,,
玉石俱焚,3,N,,
入侵人體,3,N,,
胃痛,3,N,,
撞上,3,N,,
衝突,3,N,,
很害怕,3,N,,
怎麼辦,3,N,,
不安,3,N,,
全屍,3,N,,
驚慌,3,N,,
毒性汙染物,3,N,,
倒地,3,N,,
致命外傷,3,N,,
血流不止,3,N,,
輕易駭進,3,N,,
營救,3,N,,
地震,3,N,,
向警方求助,3,N,,
瘋狂,3,N,,
警戒,3,N,,
黃斑部,3,N,,
最危害等級,3,N,,
咳嗽,3,N,,
靈異,3,N,,
侵襲,3,N,,
警訊,3,N,,
自燃,3,N,,
產生病變,3,N,,
腫塊,3,N,,
體液,3,N,,
心虛,3,N,,
體質靈敏,3,N,,
具威脅性,3,N,,
失事,3,N,,
發抖,3,N,,
銳利邊緣,3,N,,
冷血,3,N,,
中風,3,N,,
驗傷,3,N,,
情緒較不穩定,3,N,,
甩棍,3,N,,
緊急,3,N,,
一槍擊斃,3,N,,
嚴重嗆傷,3,N,,
不見人影,3,N,,
缺水,3,N,,
痠麻,3,N,,
腹瀉,3,N,,
ISIS,3,N,,
匆匆離去,3,N,,
呼救,3,N,,
出血,3,N,,
摺疊刀,3,N,,
皮疹,3,N,,
感冒症狀,3,N,,
白色粉末,3,N,,
就怕,3,N,,
氣氛肅殺,3,N,,
竄出火苗,3,N,,
性生活史複雜,3,N,,
逃離現場,3,N,,
症狀,3,N,,
水位直直落,3,N,,
跨國緝捕,3,N,,
來回踱步,3,N,,
嚇壞了,3,N,,
送醫,3,N,,
疫情持續,3,N,,
火燒車,3,N,,
被劃傷,3,N,,
紅疹,3,N,,
急救,3,N,,
炸毀,3,N,,
蓄水量不到,3,N,,
喃喃自語,3,N,,
超車,3,N,,
強烈幻覺,3,N,,
疏散,3,N,,
怕,3,N,,
停止供水,3,N,,
寒流來襲,3,N,,
逃生不及,3,N,,
用眼過久,3,N,,
一片漆黑,3,N,,
發毛,3,N,,
聖戰,3,N,,
下毒,3,N,,
噩運,3,N,,
驗出,3,N,,
震央,3,N,,
砍頭,3,N,,
緊急會議,3,N,,
發生暴力事件,3,N,,
冒出濃煙,3,N,,
肌肉痠痛,3,N,,
加派警力,3,N,,
凶殘,3,N,,
很不滿,4,N,,
畜生,4,N,,
放水,4,N,,
趕走,4,N,,
有夠誇張,4,N,,
嘔,4,N,,
燙手山芋,4,N,,
罵小孩,4,N,,
被,4,N,,
空談,4,N,,
倔強,4,N,,
訓話,4,N,,
透支,4,N,,
穿插三字經,4,N,,
無法自拔,4,N,,
酒店經紀人,4,N,,
侵入,4,N,,
私心自用,4,N,,
不足,4,N,,
錯誤,4,N,,
背離承諾,4,N,,
欺侮,4,N,,
罰站,4,N,,
轉頭就走,4,N,,
早就忘了,4,N,,
怠惰,4,N,,
不當,4,N,,
違反,4,N,,
哭鬧,4,N,,
偷吃,4,N,,
誅鋤異己,4,N,,
民意壓力,4,N,,
理論,4,N,,
下海陪酒,4,N,,
粗暴,4,N,,
酒店公關,4,N,,
很氣,4,N,,
處決,4,N,,
淹入,4,N,,
嫌,4,N,,
亂跑,4,N,,
見死不救,4,N,,
不幹了,4,N,,
毒害,4,N,,
屁孩,4,N,,
發生口角,4,N,,
敗家,4,N,,
嚴重,4,N,,
罵,4,N,,
垃圾,4,N,,
臭味,4,N,,
揭發,4,N,,
警告,4,N,,
指責,4,N,,
下海,4,N,,
小偷,4,N,,
撂下狠話,4,N,,
進出警局,4,N,,
禁止,4,N,,
懷恨在心,4,N,,
床戰,4,N,,
不法,4,N,,
被偷,4,N,,
爭議,4,N,,
肇事逃逸,4,N,,
攻擊,4,N,,
最壞,4,N,,
預算赤字,4,N,,
食安基金,4,N,,
車速過快,4,N,,
報警,4,N,,
負責,4,N,,
喪心病狂,4,N,,
遺憾,4,N,,
刺死,4,N,,
海洛因,4,N,,
很嗆,4,N,,
都沒有用,4,N,,
